Name,Origin_Season,Origin_League,Origin_Team,Pre_PL_G_A,Pre_PL_npxG,Pre_PL_xA,PL_Debut_Season,PL_Team,PL_Performance,Season_Control
Marcel Sabitzer,2021,GER-Bundesliga,RasenBallsport Leipzig,0.4850563449289564,0.20598377529139295,0.12755435359851805,2223.0,Manchester United,0.14173228346456693,2020
Marco van Ginkel,1415,ITA-Serie A,AC Milan,0.13740458015267176,0.10990639801585038,0.1318435498676796,1516.0,Stoke,0.0,2014
Marcos Alonso,1516,ITA-Serie A,Fiorentina,0.26888604353393086,0.1334893843457198,0.16120309695820878,1617.0,Chelsea,0.3004451038575668,2015
Mario Lemina,1617,ITA-Serie A,Juventus,0.2027027027027027,0.24815110414213423,0.08618623181875493,1718.0,Southampton,0.10434782608695652,2016
Mario Lemina,2223,FRA-Ligue 1,Nice,0.0,0.021645683690766308,0.007339689399716307,2324.0,Wolverhampton Wanderers,0.14990006662225183,2022
Mario Suárez,1415,ESP-La Liga,Atletico Madrid,0.07992895204262877,0.12302798635887102,0.027556376726917433,1516.0,Watford,0.0,2014
Mario Vrancic,1617,GER-Bundesliga,Darmstadt,0.3499675955930006,0.10012983644474116,0.2395103917513296,1920.0,Norwich,0.1468189233278956,2016
Mark Flekken,2223,GER-Bundesliga,Freiburg,0.0,0.0,0.01665806244401371,2324.0,Brentford,0.027330701488004858,2022
Markus Suttner,1617,GER-Bundesliga,Ingolstadt,0.2956204379562044,0.062465084149046744,0.17237331919766366,1718.0,Brighton,0.0,2016
Marquinhos,2021,FRA-Ligue 1,Paris Saint Germain,0.16877637130801687,0.10094712295801328,0.009775814690670384,2223.0,Arsenal,0.0,2020
Marten de Roon,1516,ITA-Serie A,Atalanta,0.0870125684821141,0.018863495318636257,0.03486472035209249,1617.0,Middlesbrough,0.12954300107952502,2015
Martin Odegaard,1920,ESP-La Liga,Real Sociedad,0.35363457760314343,0.11614608573626675,0.23787479682263785,2021.0,Arsenal,0.31213872832369943,2019
Martín Montoya,1718,ESP-La Liga,Valencia,0.16728624535315986,0.010432381289803377,0.08314508580356893,1819.0,Brighton,0.04157043879907621,2017
Mateo Kovacic,1718,ESP-La Liga,Real Madrid,0.09164969450101833,0.031696368623411096,0.06141543237572107,1819.0,Chelsea,0.10250569476082004,2017
Matheus Cunha,2021,GER-Bundesliga,Hertha Berlin,0.45748613678373384,0.2466100514065922,0.17892992722607337,2223.0,Wolverhampton Wanderers,0.18404907975460122,2020
Matheus Pereira,1920,FRA-Ligue 1,Dijon,0.0,0.1296349116959251,0.08805617134874828,2021.0,West Bromwich Albion,0.5898226676946801,2019
Mathieu Debuchy,1516,FRA-Ligue 1,Bordeaux,0.0,0.07117335447015204,0.02069553388852854,1617.0,Arsenal,0.0,2015
Matteo Darmian,1415,ITA-Serie A,Torino,0.1048951048951049,0.07716110210631277,0.11704064205523346,1516.0,Manchester United,0.04646360351058337,2014
Matz Sels,2223,FRA-Ligue 1,Strasbourg,0.0,0.0,0.006702183892852382,2324.0,Nottingham Forest,0.0,2022
Mauro Zárate,1516,ITA-Serie A,Fiorentina,0.5202312138728323,0.3607640106155607,0.0869417048969193,1617.0,Watford,0.0,2015
Max Gradel,1415,FRA-Ligue 1,Saint-Etienne,0.8234217749313816,0.43686167784768,0.22568965884571435,1516.0,Bournemouth,0.29411764705882354,2014
Max Meyer,1718,GER-Bundesliga,Schalke 04,0.0,0.010086267312550558,0.017253843587600955,1819.0,Crystal Palace,0.19244476122594442,2017
