Name,Origin_Season,Origin_League,team,Pre_PL_G_A,Pre_PL_npxG,Pre_PL_xA,PL_Team,PL_Raw_GA,PL_Team_Avg_GA,Target_Relative_GA,Season_Control
Enes Ünal,2223,ESP-La Liga,Getafe,0.5077995353468304,0.21353051237331708,0.10023802881729671,Bournemouth,1.2720848056537102,0.26250972258231786,1.0095750830713923,2022
Eric Bailly,1516,ESP-La Liga,Villarreal,0.0,0.009988966416760345,0.025558611731508085,Manchester United,0.0,0.2630526412946497,-0.2630526412946497,2015
Eric Maxim Choupo-Moting,1617,GER-Bundesliga,Schalke 04,0.3730017761989343,0.23869809246296148,0.19325821625720546,Stoke,0.39875941515285773,0.17546102464124771,0.22329839051161002,2016
Erik Durm,1617,GER-Bundesliga,Borussia Dortmund,0.18480492813141683,0.06567493908191424,0.16800576857304547,Huddersfield,0.043923865300146414,0.08613050721298693,-0.042206641912840515,2016
Erik Pieters,1819,FRA-Ligue 1,Amiens,0.14274385408406026,0.06924276670011191,0.04204650852654918,Burnley,0.19148936170212766,0.23211069264778125,-0.040621330945653594,2018
Erling Haaland,2021,GER-Bundesliga,Borussia Dortmund,1.2293046357615893,0.7661685391039347,0.1503271031014572,Manchester City,1.4127720299678914,0.42159503454737085,0.9911769954205205,2020
Estupiñán,2021,ESP-La Liga,Villarreal,0.0,0.037297990321725316,0.14190188227811018,Brighton,0.19948282231252307,0.30977930755213606,-0.110296485239613,2020
Ezequiel Schelotto,1415,ITA-Serie A,Chievo,0.0,0.1069151654609301,0.08000271509956108,Brighton,0.0,0.19615613235585494,-0.19615613235585494,2014
Fabian Schär,1718,ESP-La Liga,Deportivo La Coruna,0.16208914903196758,0.13002927288017205,0.029636939592535355,Newcastle United,0.22421524663677128,0.21649586450060962,0.007719382136161662,2017
Fabinho,1718,FRA-Ligue 1,Monaco,0.29411764705882354,0.06265612565638388,0.12507361957036398,Liverpool,0.1345962113659023,0.40823791930350806,-0.2736417079376058,2017
Fabri,1415,ESP-La Liga,Deportivo La Coruna,0.0,0.0,0.0005564096594049064,Fulham,0.0,0.1501273009276872,-0.1501273009276872,2014
Facundo Pellistri,2021,ESP-La Liga,Alaves,0.0,0.07109425323649068,0.00630787061004155,Manchester United,0.0,0.25831771321462044,-0.25831771321462044,2020
Felipe,2021,ESP-La Liga,Atletico Madrid,0.0,0.05676252194741635,0.01862178033689585,Nottingham Forest,0.06306937631394534,0.1575310916628282,-0.09446171534888285,2020
Felipe Anderson,1718,ITA-Serie A,Lazio,0.8691834942932397,0.2173976382670746,0.3466744292805444,West Ham,0.38073543768304585,0.2535646796083147,0.12717075807473116,2017
Fernando,1516,ITA-Serie A,Sampdoria,0.18066242890598863,0.08610490012531319,0.11138701057401179,Manchester City,0.0,0.3210133123630849,-0.3210133123630849,2015
Fernando Marçal,1920,FRA-Ligue 1,Lyon,0.10804321728691475,0.009822543735066946,0.1482731494761887,Wolverhampton Wanderers,0.0,0.16829491680659442,-0.16829491680659442,2019
